1: vehicle.audi.a2
2: vehicle.citroen.c3
3: vehicle.chevrolet.impala
4: vehicle.dodge.charger_police_2020
5: vehicle.micro.microlino
6: vehicle.dodge.charger_police
7: vehicle.audi.tt
8: vehicle.jeep.wrangler_rubicon
9: vehicle.mercedes.coupe
10: vehicle.mercedes.coupe_2020
11: vehicle.dodge.charger_2020
12: vehicle.ford.ambulance
13: vehicle.lincoln.mkz_2020
14: vehicle.mini.cooper_s_2021
15: vehicle.toyota.prius
16: vehicle.ford.crown
17: vehicle.carlamotors.carlacola
18: vehicle.nissan.patrol_2021
19: vehicle.mercedes.sprinter
20: vehicle.audi.etron
21: vehicle.seat.leon
22: vehicle.volkswagen.t2_2021
23: vehicle.tesla.cybertruck
24: vehicle.lincoln.mkz_2017
25: vehicle.ford.mustang
26: vehicle.carlamotors.firetruck
27: vehicle.volkswagen.t2
28: vehicle.mitsubishi.fusorosa
29: vehicle.tesla.model3
30: vehicle.bmw.grandtourer
31: vehicle.nissan.patrol
32: vehicle.nissan.micra
33: vehicle.mini.cooper_s
